beta1,beta2,x_tmax,front_chord,front_camber,mach_in,loss,pressure_rise,converged
48.711265106837686,-0.8884048091862515,0.5894610403742362,0.5044278561863348,0.30857357943253966,0.8,0.064874,1.311246,True
48.711265106837686,-0.8884048091862515,0.5894610403742362,0.5044278561863348,0.30857357943253966,0.825,0.065686,1.337693,True
48.17034741265944,-1.8716087836558941,0.6530934555447868,0.6566734164741465,0.6351423688771635,0.85,0.040403,1.388547,True
48.711265106837686,-0.8884048091862515,0.5894610403742362,0.5044278561863348,0.30857357943253966,0.85,0.066548,1.365768,True
49.300385620259455,-1.80219019149646,0.48525485687434566,0.5167831013562352,0.4958128120354598,0.8,0.041194,1.337664,True
49.300385620259455,-1.80219019149646,0.48525485687434566,0.5167831013562352,0.4958128120354598,0.825,0.040048,1.367547,True
48.038204885161015,-1.3778920541256348,0.32214932332923213,0.6036819848209283,0.48978099016048704,0.8,0.040788,1.325583,True
48.038204885161015,-1.3778920541256348,0.32214932332923213,0.6036819848209283,0.48978099016048704,0.825,0.042073,1.352936,True
48.10386259206996,0.7220822395081816,0.483239823164783,0.34508126359910674,0.6526434751790741,0.85,0.127419,1.328582,True
48.10386259206996,0.7220822395081816,0.483239823164783,0.34508126359910674,0.6526434751790741,0.8,0.047105,1.326791,True
48.038204885161015,-1.3778920541256348,0.32214932332923213,0.6036819848209283,0.48978099016048704,0.85,0.043938,1.381578,True
48.10386259206996,0.7220822395081816,0.483239823164783,0.34508126359910674,0.6526434751790741,0.825,0.062767,1.344786,True
48.97438383429998,0.9456574173918142,0.6432870098777055,0.36768551389719323,0.45070680296940374,0.8,0.039238,1.335507,True
48.97438383429998,0.9456574173918142,0.6432870098777055,0.36768551389719323,0.45070680296940374,0.825,0.039229,1.364521,True
48.17306876376431,-0.5882394671770024,0.6515765792868199,0.5565824581976178,0.36386842734299185,0.8,0.057706,1.310706,True
48.97438383429998,0.9456574173918142,0.6432870098777055,0.36768551389719323,0.45070680296940374,0.85,0.041229,1.393964,True
49.684477368224485,-0.02152784678001307,0.46184015105669757,0.4603015693568849,0.5056800813116955,0.8,0.038807,1.341753,True
49.684477368224485,-0.02152784678001307,0.46184015105669757,0.4603015693568849,0.5056800813116955,0.825,0.038072,1.371527,True
49.684477368224485,-0.02152784678001307,0.46184015105669757,0.4603015693568849,0.5056800813116955,0.85,0.038695,1.402325,True
48.17306876376431,-0.5882394671770024,0.6515765792868199,0.5565824581976178,0.36386842734299185,0.825,0.057096,1.338439,True
48.17306876376431,-0.5882394671770024,0.6515765792868199,0.5565824581976178,0.36386842734299185,0.85,0.05799,1.366717,True
49.53158139169921,-0.5935486428322836,0.5304657537173383,0.5139332724483343,0.41222032669052766,0.8,0.048763,1.331154,True
49.53158139169921,-0.5935486428322836,0.5304657537173383,0.5139332724483343,0.41222032669052766,0.825,0.046887,1.361083,True
48.97523746785293,0.28745893011817936,0.3661271615964456,0.5953371120039591,0.339568477670275,0.8,0.062939,1.307323,True
49.53158139169921,-0.5935486428322836,0.5304657537173383,0.5139332724483343,0.41222032669052766,0.85,0.046704,1.391727,True
48.528852216627456,-1.0278722549267516,0.32251241919256024,0.6339233360354445,0.4616540628582645,0.8,0.044242,1.32405,True
48.97523746785293,0.28745893011817936,0.3661271615964456,0.5953371120039591,0.339568477670275,0.825,0.068778,1.329056,True
48.528852216627456,-1.0278722549267516,0.32251241919256024,0.6339233360354445,0.4616540628582645,0.825,0.045901,1.350814,True
48.528852216627456,-1.0278722549267516,0.32251241919256024,0.6339233360354445,0.4616540628582645,0.85,0.048321,1.378598,True
49.71701336845508,1.3365644795279925,0.5066097610679992,0.6643763042845565,0.47462989326416183,0.8,0.05184,1.322686,True
49.71701336845508,1.3365644795279925,0.5066097610679992,0.6643763042845565,0.47462989326416183,0.825,0.051349,1.350982,True
48.64144700693475,-0.975872279973677,0.588043939701218,0.654304126087175,0.3049247281053038,0.8,0.082672,1.285348,True
48.89236292611601,-1.52424384335667,0.5566823484000061,0.620062780726979,0.33979753946282226,0.8,0.068852,1.304866,True
49.71701336845508,1.3365644795279925,0.5066097610679992,0.6643763042845565,0.47462989326416183,0.85,0.051107,1.380906,True
48.89236292611601,-1.52424384335667,0.5566823484000061,0.620062780726979,0.33979753946282226,0.825,0.07242,1.32851,True
48.07954568203816,-0.27965079902239265,0.6889409281949311,0.4905082903836403,0.6445115371745864,0.8,0.039795,1.330493,True
48.07954568203816,-0.27965079902239265,0.6889409281949311,0.4905082903836403,0.6445115371745864,0.825,0.040598,1.358717,True
48.07954568203816,-0.27965079902239265,0.6889409281949311,0.4905082903836403,0.6445115371745864,0.85,0.043676,1.387124,True
48.46669807260856,1.7341631162089688,0.5866437411929137,0.5607778823178007,0.6560005930684325,0.8,0.038213,1.332174,True
48.46669807260856,1.7341631162089688,0.5866437411929137,0.5607778823178007,0.6560005930684325,0.825,0.037939,1.361154,True
49.64512079997569,-0.7505678168757282,0.5192326206840677,0.3325787160936257,0.4338001790539051,0.8,0.038998,1.342594,True
48.560334315263894,0.8686997499688824,0.6727819118546031,0.30142059332022064,0.3121942000993591,0.8,0.040178,1.330114,True
